prediction_made_on,prediction_made_for_date,pnl
2006-01-03,2006-04-03,194262.7513423271
2006-04-03,2006-07-03,-11681.754756441456
2006-07-03,2006-10-03,8345.938088243478
2006-10-02,2007-01-03,2913968.9436293403
2007-01-03,2007-04-03,73367.76087788586
2007-04-02,2007-07-02,80689.98764979956
2007-07-02,2007-10-02,-5663.829173606471
2007-10-01,2008-01-02,-67333.08579690126
2008-01-02,2008-04-02,-71366.77902914106
